Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brière Théo P.V.Q./G.P.Q.;David Hélène P.L.Q./Q.L.P.;Gendron Roxanne P.Q.;Laperle Édith Q.S.;Marcil Mathieu P.N.;McCann Rebecca C.A.Q.-É.F.L.;Pouliot Simon É.A.P. - P.C.Q.;Vaillancourt Galia O.N. - P.I.Q.;B.V.;B.R.;
421;Outremont;2014-04-07;G;Montréal, v;139;;20;346;2;103;18;26;0;16;2;0;167;2;
421;Outremont;2014-04-07;G;Montréal, v;140;;21;477;4;105;21;39;3;16;1;1;190;1;
421;Outremont;2014-04-07;G;Montréal, v;140;Regr. BVO-21;22;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Montréal, v;140;;23;399;7;135;14;6;4;6;1;1;174;1;
421;Outremont;2014-04-07;G;Montréal, v;140;;24;617;6;141;13;12;0;11;1;0;184;1;
421;Outremont;2014-04-07;G;Montréal, v;140;Regr. BVO-24;25;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Montréal, v;140;;26;392;6;123;18;31;4;23;0;0;205;1;
421;Outremont;2014-04-07;G;Montréal, v;140;;27;359;4;133;15;15;0;17;0;0;184;3;
421;Outremont;2014-04-07;G;Montréal, v;140;;28;392;2;159;21;13;0;20;1;0;216;0;
421;Outremont;2014-04-07;G;Montréal, v;141;;29;343;6;76;43;28;1;29;1;0;184;1;
421;Outremont;2014-04-07;G;Montréal, v;141;;30;355;4;131;28;17;1;15;0;2;198;2;
421;Outremont;2014-04-07;G;Montréal, v;141;;31;346;6;139;29;13;1;15;2;0;205;1;
421;Outremont;2014-04-07;G;Montréal, v;141;;32;341;1;125;30;20;1;16;1;0;194;2;
421;Outremont;2014-04-07;G;Montréal, v;141;;33;383;6;110;14;22;0;24;1;0;177;4;
421;Outremont;2014-04-07;G;Montréal, v;141;;34;344;5;80;28;33;0;14;2;2;164;0;
421;Outremont;2014-04-07;G;Montréal, v;141;;35;353;1;95;23;21;2;15;0;0;157;1;
421;Outremont;2014-04-07;G;Montréal, v;141;;36;346;11;96;23;23;3;14;0;3;173;3;
421;Outremont;2014-04-07;G;Montréal, v;142;;37;382;9;128;6;5;2;11;1;1;163;2;
421;Outremont;2014-04-07;G;Montréal, v;142;;38;364;3;101;15;12;1;12;0;0;144;1;
421;Outremont;2014-04-07;G;Montréal, v;142;;39;346;1;94;21;6;0;7;3;0;132;1;
421;Outremont;2014-04-07;G;Montréal, v;142;;40;329;2;67;31;14;0;19;0;2;135;0;
421;Outremont;2014-04-07;G;Montréal, v;142;;41;334;3;73;20;23;2;6;0;1;128;1;
421;Outremont;2014-04-07;G;Montréal, v;142;;42;344;2;61;38;36;0;29;0;2;168;3;
421;Outremont;2014-04-07;G;Montréal, v;142;;43;339;6;48;32;39;1;15;3;2;146;2;
421;Outremont;2014-04-07;G;Montréal, v;142;;44;348;2;68;26;36;1;13;0;1;147;1;
421;Outremont;2014-04-07;G;Montréal, v;143;;45;358;5;90;24;31;0;23;0;3;176;1;
421;Outremont;2014-04-07;G;Montréal, v;143;;46;372;2;58;24;42;1;22;1;1;151;2;
421;Outremont;2014-04-07;G;Montréal, v;143;;47;353;3;72;25;23;2;19;0;0;144;2;
421;Outremont;2014-04-07;G;Montréal, v;143;;48;352;3;76;42;35;0;33;1;2;192;3;
421;Outremont;2014-04-07;G;Montréal, v;143;;49;337;2;60;31;36;2;19;0;3;153;0;
421;Outremont;2014-04-07;G;Montréal, v;143;;50;361;5;31;17;50;1;10;0;1;115;4;
421;Outremont;2014-04-07;G;Montréal, v;144;;51;398;3;85;48;38;3;37;0;1;215;0;
421;Outremont;2014-04-07;G;Montréal, v;144;;52;462;3;130;37;26;3;21;0;1;221;1;
421;Outremont;2014-04-07;G;Montréal, v;144;Regr. BVO-52;53;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Montréal, v;144;;54;368;1;99;29;16;1;54;0;1;201;2;
421;Outremont;2014-04-07;G;Montréal, v;144;;55;390;2;144;18;9;0;46;0;0;219;2;
421;Outremont;2014-04-07;G;Montréal, v;144;;56;385;3;112;32;15;0;25;0;1;188;1;
421;Outremont;2014-04-07;G;Montréal, v;144;;57;394;1;112;15;22;1;38;0;0;189;0;
421;Outremont;2014-04-07;G;Montréal, v;145;;58;371;12;117;46;20;1;37;0;2;235;1;
421;Outremont;2014-04-07;G;Montréal, v;145;;59;375;3;99;44;45;1;13;0;1;206;1;
421;Outremont;2014-04-07;G;Montréal, v;145;;60;365;3;76;39;51;6;38;0;2;215;0;
421;Outremont;2014-04-07;G;Montréal, v;145;;61;382;2;138;23;16;2;28;0;0;209;0;
421;Outremont;2014-04-07;G;Montréal, v;145;;62;354;1;104;40;20;1;39;0;2;207;0;
421;Outremont;2014-04-07;G;Montréal, v;145;;63;511;0;83;44;29;0;33;2;4;195;3;
421;Outremont;2014-04-07;G;Montréal, v;145;Regr. BVO-63;64;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Montréal, v;145;Regr. BVO-69;65;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Montréal, v;145;Regr. BVO-68;66;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Montréal, v;145;;67;367;3;86;39;30;1;30;1;3;193;2;
421;Outremont;2014-04-07;G;Montréal, v;145;;68;537;6;74;29;39;2;41;1;1;193;4;
421;Outremont;2014-04-07;G;Montréal, v;146;;69;502;5;71;33;55;2;26;0;1;193;2;
421;Outremont;2014-04-07;G;Montréal, v;146;;70;371;4;100;27;54;1;22;2;0;210;2;
421;Outremont;2014-04-07;G;Montréal, v;146;;71;346;8;55;30;52;3;11;1;4;164;3;
421;Outremont;2014-04-07;G;Montréal, v;146;;72;341;7;78;37;70;0;23;0;1;216;1;
421;Outremont;2014-04-07;G;Montréal, v;146;;73;353;3;72;58;46;4;22;0;0;205;0;
421;Outremont;2014-04-07;G;Montréal, v;146;;74;312;6;54;36;37;0;20;0;0;153;2;
421;Outremont;2014-04-07;G;Montréal, v;147;;75;346;2;76;38;51;2;25;0;0;194;5;
421;Outremont;2014-04-07;G;Montréal, v;147;;76;321;5;48;39;36;2;25;1;1;157;0;
421;Outremont;2014-04-07;G;Montréal, v;147;;77;342;9;87;29;57;3;20;0;1;206;4;
421;Outremont;2014-04-07;G;Montréal, v;147;;78;332;6;84;47;54;2;9;1;3;206;3;
421;Outremont;2014-04-07;G;Montréal, v;147;;79;353;8;77;54;50;0;18;0;5;212;1;
421;Outremont;2014-04-07;G;Montréal, v;147;;80;356;11;80;46;55;4;25;0;1;222;0;
421;Outremont;2014-04-07;G;Montréal, v;148;;81;385;0;106;61;36;1;30;2;3;239;1;
421;Outremont;2014-04-07;G;Montréal, v;148;;82;377;4;87;37;70;0;18;1;3;220;3;
421;Outremont;2014-04-07;G;Montréal, v;148;;83;385;6;98;39;66;1;19;1;0;230;1;
421;Outremont;2014-04-07;G;Montréal, v;148;;84;395;6;142;30;42;4;7;0;0;231;2;
421;Outremont;2014-04-07;G;Montréal, v;148;;85;381;3;174;23;21;3;8;0;2;234;4;
421;Outremont;2014-04-07;G;Montréal, v;148;;86;361;5;140;20;18;0;5;0;0;188;1;
421;Outremont;2014-04-07;G;Montréal, v;148;;87;410;8;143;17;44;0;6;0;0;218;2;
421;Outremont;2014-04-07;G;Montréal, v;149;;88;363;7;83;20;47;1;5;1;2;166;1;
421;Outremont;2014-04-07;G;Montréal, v;149;;89;388;10;67;18;87;4;12;0;1;199;1;
421;Outremont;2014-04-07;G;Montréal, v;149;;90;359;10;129;13;75;5;4;2;1;239;0;
421;Outremont;2014-04-07;G;Montréal, v;149;;91;371;10;93;33;79;4;3;2;1;225;2;
421;Outremont;2014-04-07;G;Montréal, v;149;;92;362;4;133;10;26;1;3;0;1;178;2;
421;Outremont;2014-04-07;G;Montréal, v;149;;93;369;3;133;18;44;3;8;0;2;211;3;
421;Outremont;2014-04-07;G;Montréal, v;149;;94;414;7;130;12;53;2;18;0;0;222;0;
421;Outremont;2014-04-07;G;Montréal, v;149;;95;365;9;69;22;62;0;9;0;2;173;3;
421;Outremont;2014-04-07;G;Montréal, v;149;;96;376;6;125;18;36;3;5;0;3;196;1;
421;Outremont;2014-04-07;G;Montréal, v;150;;97;333;10;82;38;43;1;8;0;1;183;3;
421;Outremont;2014-04-07;G;Montréal, v;150;;98;365;2;141;30;28;1;14;1;2;219;0;
421;Outremont;2014-04-07;G;Montréal, v;150;;99;367;3;133;36;26;1;21;0;0;220;3;
421;Outremont;2014-04-07;G;Montréal, v;150;;100;373;6;116;38;39;3;43;1;1;247;4;
421;Outremont;2014-04-07;G;Montréal, v;150;;101;350;1;71;27;19;0;21;1;1;141;1;
421;Outremont;2014-04-07;G;Montréal, v;150;;102;360;1;62;27;16;0;14;0;0;120;0;
421;Outremont;2014-04-07;G;Montréal, v;150;;103;368;11;97;37;41;4;14;0;0;204;1;
421;Outremont;2014-04-07;G;Montréal, v;150;;104;348;2;81;26;19;2;16;1;0;147;2;
421;Outremont;2014-04-07;G;Montréal, v;151;;105;371;4;84;20;54;1;13;0;1;177;0;
421;Outremont;2014-04-07;G;Montréal, v;151;;106;383;9;76;28;45;0;10;0;2;170;0;
421;Outremont;2014-04-07;G;Montréal, v;151;;107;371;14;83;34;60;3;12;1;1;208;2;
421;Outremont;2014-04-07;G;Montréal, v;151;;108;370;9;80;17;72;3;16;0;1;198;1;
421;Outremont;2014-04-07;G;Montréal, v;151;;109;374;9;87;28;53;1;18;0;1;197;0;
421;Outremont;2014-04-07;G;Montréal, v;151;;110;370;9;105;26;71;4;9;0;1;225;2;
421;Outremont;2014-04-07;G;Montréal, v;151;;111;376;8;102;16;58;3;8;0;1;196;3;
421;Outremont;2014-04-07;G;BVA1;;;;0;5;365;22;11;0;17;2;1;423;1;
421;Outremont;2014-04-07;G;BVA2;;;;0;5;381;20;43;1;12;2;0;464;2;
421;Outremont;2014-04-07;G;BVA3;;;;0;1;132;31;19;2;2;0;1;188;0;
421;Outremont;2014-04-07;G;BVA4;;;;0;4;233;29;16;1;10;1;1;295;2;
421;Outremont;2014-04-07;G;BVA5;;;;0;1;205;33;24;1;10;1;3;278;0;
421;Outremont;2014-04-07;G;BVA6;;;;0;7;235;55;24;0;16;2;0;339;1;
421;Outremont;2014-04-07;G;BVA7;;;;0;0;154;64;53;0;22;0;4;297;3;
421;Outremont;2014-04-07;G;BVA8;;;;0;2;224;78;54;3;29;0;3;393;0;
421;Outremont;2014-04-07;G;BVA9;;;;0;2;230;80;36;0;32;1;1;382;1;
421;Outremont;2014-04-07;G;BVA10;;;;0;7;240;96;94;2;25;2;1;467;4;
421;Outremont;2014-04-07;G;BVA11;;;;0;6;161;141;71;1;18;1;2;401;4;
421;Outremont;2014-04-07;G;BVA12;;;;0;4;254;64;28;1;37;0;2;390;0;
421;Outremont;2014-04-07;G;BVA13;;;;0;0;66;28;40;1;2;0;1;138;0;
421;Outremont;2014-04-07;G;BVA14;;;;0;7;115;52;44;0;5;1;3;227;1;
421;Outremont;2014-04-07;G;BVA15;;;;0;4;329;142;61;1;52;0;3;592;4;
421;Outremont;2014-04-07;G;BVA16;;;;0;3;149;57;75;2;19;1;1;307;2;
421;Outremont;2014-04-07;G;Vote en installation d'hébergement;;;;0;2;257;105;46;4;32;1;1;448;14;
421;Outremont;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;3;88;10;5;1;3;0;0;110;1;
421;Outremont;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;23;347;120;292;6;45;5;18;856;10;
421;Outremont;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Vote hors circonscription;;;;0;19;223;55;102;2;24;1;0;426;8;
421;Outremont;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;178;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;4;0;0;0;0;0;0;0;0;0;0;
421;Outremont;2014-04-07;G;Total de la circonscription;;;;39580;615;15368;3993;4621;192;2252;80;154;27275;218;
421;Outremont;2014-04-07;G;Majorité en faveur de Hélène David : 10747
