Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Raymond P.L.Q./Q.L.P.;Bouchard Jean O.N. - P.I.Q.;Duchesneau Jean-Pierre Q.S.;Guimond Michel P.Q.;Parent Marielle P.V.Q./G.P.Q.;Pouliot Adrien É.A.P. - P.C.Q.;St-Laurent Michelyne C. C.A.Q.-É.F.L.;B.V.;B.R.;
673;Montmorency;2014-04-07;G;Québec, v;131;;52;312;43;1;14;25;2;3;54;142;2;
673;Montmorency;2014-04-07;G;Québec, v;131;;53;318;49;2;9;36;2;6;52;156;3;
673;Montmorency;2014-04-07;G;Québec, v;131;;54;318;72;1;13;18;1;6;75;186;0;
673;Montmorency;2014-04-07;G;Québec, v;131;;55;315;49;2;9;28;0;6;76;170;1;
673;Montmorency;2014-04-07;G;Québec, v;132;;56;392;91;2;7;21;1;8;99;229;4;
673;Montmorency;2014-04-07;G;Québec, v;132;;57;340;59;1;6;20;2;3;93;184;1;
673;Montmorency;2014-04-07;G;Québec, v;132;;58;390;85;0;4;36;1;2;72;200;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;59;335;64;1;2;21;1;8;89;186;4;
673;Montmorency;2014-04-07;G;Québec, v;132;;60A;235;65;0;3;16;2;3;42;131;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;60B;232;50;1;2;17;2;3;47;122;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;61;305;66;4;7;19;2;4;71;173;0;
673;Montmorency;2014-04-07;G;Québec, v;132;;62;349;62;1;10;33;2;13;66;187;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;63A;239;45;0;2;11;0;3;49;110;4;
673;Montmorency;2014-04-07;G;Québec, v;132;;63B;236;48;1;4;13;0;4;38;108;1;
673;Montmorency;2014-04-07;G;Québec, v;132;;64;337;68;0;14;26;1;4;57;170;3;
673;Montmorency;2014-04-07;G;Québec, v;132;;65;338;192;0;14;20;4;7;57;294;1;
673;Montmorency;2014-04-07;G;Québec, v;132;;66;319;65;1;10;26;2;4;85;193;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;67;325;67;1;10;18;1;9;64;170;1;
673;Montmorency;2014-04-07;G;Québec, v;132;;68;304;69;0;6;19;7;5;79;185;0;
673;Montmorency;2014-04-07;G;Québec, v;132;;69;357;77;1;6;22;2;6;72;186;0;
673;Montmorency;2014-04-07;G;Québec, v;132;;70;327;71;2;8;17;2;4;73;177;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;71;324;61;0;9;25;2;7;66;170;5;
673;Montmorency;2014-04-07;G;Québec, v;132;;72;317;64;2;4;23;1;3;81;178;2;
673;Montmorency;2014-04-07;G;Québec, v;132;;73;337;73;1;8;17;3;4;64;170;2;
673;Montmorency;2014-04-07;G;Québec, v;133;Regr. BVO-75;74;0;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Québec, v;133;;75;379;65;3;8;32;1;3;63;175;3;
673;Montmorency;2014-04-07;G;Québec, v;133;;76;298;55;1;6;23;1;2;60;148;2;
673;Montmorency;2014-04-07;G;Québec, v;133;;77;318;42;0;8;27;2;3;49;131;3;
673;Montmorency;2014-04-07;G;Québec, v;133;;78;327;71;0;4;31;2;3;73;184;2;
673;Montmorency;2014-04-07;G;Québec, v;133;;79;333;90;1;9;28;3;5;77;213;1;
673;Montmorency;2014-04-07;G;Québec, v;133;;80;322;58;0;16;26;4;2;65;171;4;
673;Montmorency;2014-04-07;G;Québec, v;133;;81;352;70;3;13;36;2;4;63;191;3;
673;Montmorency;2014-04-07;G;Québec, v;133;;82;343;62;3;9;28;1;6;61;170;0;
673;Montmorency;2014-04-07;G;Québec, v;133;;83;333;65;3;14;32;3;2;62;181;3;
673;Montmorency;2014-04-07;G;Québec, v;133;;84;334;61;0;7;34;1;3;77;183;3;
673;Montmorency;2014-04-07;G;Québec, v;133;;85;315;51;2;8;30;2;3;76;172;1;
673;Montmorency;2014-04-07;G;Québec, v;133;;86;310;52;1;5;29;1;4;63;155;0;
673;Montmorency;2014-04-07;G;Québec, v;133;;87;311;40;1;5;22;1;3;69;141;0;
673;Montmorency;2014-04-07;G;Québec, v;133;;88;325;59;3;7;34;2;6;60;171;2;
673;Montmorency;2014-04-07;G;Québec, v;133;;89;331;64;1;8;19;1;4;66;163;3;
673;Montmorency;2014-04-07;G;Québec, v;134;;90;313;46;1;6;30;2;4;69;158;1;
673;Montmorency;2014-04-07;G;Québec, v;134;;91;378;67;0;10;29;1;4;91;202;3;
673;Montmorency;2014-04-07;G;Québec, v;134;;92;337;69;1;8;25;1;2;62;168;1;
673;Montmorency;2014-04-07;G;Québec, v;134;Regr. BVO-94;93;0;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Québec, v;134;;94;397;58;1;7;18;1;4;81;170;2;
673;Montmorency;2014-04-07;G;Québec, v;134;;95;338;55;0;13;33;2;9;68;180;3;
673;Montmorency;2014-04-07;G;Québec, v;134;;96;338;60;0;7;20;2;4;79;172;0;
673;Montmorency;2014-04-07;G;Québec, v;134;;97;322;52;2;10;28;1;4;89;186;2;
673;Montmorency;2014-04-07;G;Québec, v;134;;98;380;96;0;3;15;2;8;124;248;4;
673;Montmorency;2014-04-07;G;Québec, v;134;;99;338;92;0;6;15;1;8;102;224;1;
673;Montmorency;2014-04-07;G;Québec, v;134;;100;354;91;0;2;22;1;10;86;212;5;
673;Montmorency;2014-04-07;G;Québec, v;134;;101;328;66;1;4;17;1;8;96;193;1;
673;Montmorency;2014-04-07;G;Québec, v;134;;102;349;86;0;9;21;1;5;93;215;0;
673;Montmorency;2014-04-07;G;Québec, v;134;;103;385;92;1;11;26;0;10;102;242;4;
673;Montmorency;2014-04-07;G;Québec, v;134;;104;319;47;0;1;11;0;4;96;159;1;
673;Montmorency;2014-04-07;G;Québec, v;134;;105;340;54;0;10;25;1;3;88;181;1;
673;Montmorency;2014-04-07;G;Québec, v;135;;106A;266;40;0;7;13;3;6;80;149;0;
673;Montmorency;2014-04-07;G;Québec, v;135;;106B;243;45;0;3;19;0;1;54;122;1;
673;Montmorency;2014-04-07;G;Québec, v;135;;107;352;61;0;15;34;1;11;66;188;2;
673;Montmorency;2014-04-07;G;Québec, v;135;;108;336;47;1;6;25;3;4;78;164;6;
673;Montmorency;2014-04-07;G;Québec, v;135;;109;380;77;3;8;25;6;5;93;217;5;
673;Montmorency;2014-04-07;G;Québec, v;135;;110;321;52;0;4;23;1;7;88;175;3;
673;Montmorency;2014-04-07;G;Québec, v;135;;111;357;46;0;10;25;1;4;86;172;3;
673;Montmorency;2014-04-07;G;Québec, v;135;;112;361;55;2;10;22;0;4;95;188;0;
673;Montmorency;2014-04-07;G;Québec, v;135;;113;372;62;1;7;19;1;11;88;189;2;
673;Montmorency;2014-04-07;G;Québec, v;135;;114;352;56;1;7;20;2;6;75;167;1;
673;Montmorency;2014-04-07;G;Québec, v;135;;115;349;38;3;9;32;3;6;52;143;5;
673;Montmorency;2014-04-07;G;Québec, v;135;;116;379;78;1;7;22;1;8;92;209;2;
673;Montmorency;2014-04-07;G;Québec, v;136;;117;288;54;0;2;12;0;2;61;131;3;
673;Montmorency;2014-04-07;G;Québec, v;136;;118;301;47;2;11;36;1;5;64;166;4;
673;Montmorency;2014-04-07;G;Québec, v;136;;119;291;40;0;7;31;1;4;65;148;4;
673;Montmorency;2014-04-07;G;Québec, v;136;;120;294;52;2;9;23;0;2;68;156;3;
673;Montmorency;2014-04-07;G;Québec, v;136;;121;288;34;1;12;21;1;0;2;71;2;
673;Montmorency;2014-04-07;G;Québec, v;136;;122;300;43;1;8;19;3;2;54;130;2;
673;Montmorency;2014-04-07;G;Québec, v;136;;123;286;48;0;12;16;1;3;51;131;2;
673;Montmorency;2014-04-07;G;Québec, v;136;;124;285;33;0;1;22;4;2;73;135;3;
673;Montmorency;2014-04-07;G;Québec, v;137;;125;326;71;2;5;21;1;2;69;171;1;
673;Montmorency;2014-04-07;G;Québec, v;137;;126;335;65;1;16;40;1;0;62;185;0;
673;Montmorency;2014-04-07;G;Québec, v;137;;127;326;85;1;7;22;4;7;75;201;1;
673;Montmorency;2014-04-07;G;Québec, v;137;;128;331;74;2;4;35;0;4;90;209;2;
673;Montmorency;2014-04-07;G;Québec, v;137;;129;350;77;0;4;26;4;8;88;207;1;
673;Montmorency;2014-04-07;G;Québec, v;137;;130;361;84;3;11;54;1;4;72;229;6;
673;Montmorency;2014-04-07;G;Québec, v;137;;131;350;90;2;10;33;2;6;96;239;3;
673;Montmorency;2014-04-07;G;Québec, v;137;;132;332;59;0;10;45;2;3;63;182;2;
673;Montmorency;2014-04-07;G;Québec, v;137;;133;330;66;0;18;34;0;3;68;189;0;
673;Montmorency;2014-04-07;G;Québec, v;137;;134;323;74;2;8;39;1;3;45;172;4;
673;Montmorency;2014-04-07;G;Québec, v;138;;135;279;40;3;13;20;2;3;32;113;2;
673;Montmorency;2014-04-07;G;Québec, v;138;;136;324;56;1;9;43;4;5;66;184;1;
673;Montmorency;2014-04-07;G;Québec, v;138;;137;319;53;0;9;40;0;3;59;164;2;
673;Montmorency;2014-04-07;G;Québec, v;138;;138;339;47;3;8;19;4;7;71;159;2;
673;Montmorency;2014-04-07;G;Québec, v;138;;139;316;56;0;5;25;2;1;65;154;1;
673;Montmorency;2014-04-07;G;Québec, v;138;;140;311;54;0;5;40;1;3;82;185;0;
673;Montmorency;2014-04-07;G;Québec, v;138;;141;319;62;1;8;30;2;5;73;181;1;
673;Montmorency;2014-04-07;G;Québec, v;138;;142;314;55;1;8;38;1;3;57;163;0;
673;Montmorency;2014-04-07;G;Québec, v;138;;143;326;71;0;8;34;2;2;66;183;2;
673;Montmorency;2014-04-07;G;Québec, v;138;;144;316;38;1;11;38;3;1;66;158;4;
673;Montmorency;2014-04-07;G;Québec, v;138;;145;336;51;0;10;35;3;7;79;185;2;
673;Montmorency;2014-04-07;G;Québec, v;138;;146;308;48;0;12;44;2;6;53;165;3;
673;Montmorency;2014-04-07;G;Québec, v;139;;147;514;68;2;12;27;0;1;41;151;3;
673;Montmorency;2014-04-07;G;Québec, v;139;Regr. BVO-147;148;0;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Québec, v;139;Regr. BVO-150;149;0;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Québec, v;139;;150;361;48;3;3;34;1;4;49;142;0;
673;Montmorency;2014-04-07;G;Québec, v;139;;151;314;39;0;14;31;2;3;35;124;6;
673;Montmorency;2014-04-07;G;Québec, v;139;;152;309;44;1;13;50;2;6;50;166;2;
673;Montmorency;2014-04-07;G;Québec, v;139;;153;303;61;3;9;37;2;2;42;156;7;
673;Montmorency;2014-04-07;G;Québec, v;139;;154;313;52;1;7;22;2;3;59;146;1;
673;Montmorency;2014-04-07;G;Québec, v;140;;155;277;48;0;3;26;1;2;40;120;2;
673;Montmorency;2014-04-07;G;Québec, v;140;;156;280;33;0;4;39;2;0;35;113;3;
673;Montmorency;2014-04-07;G;Québec, v;140;;157;275;34;2;7;15;0;3;51;112;0;
673;Montmorency;2014-04-07;G;Québec, v;140;;158;265;34;0;1;23;1;6;47;112;4;
673;Montmorency;2014-04-07;G;Québec, v;140;;159;286;36;0;3;19;0;2;30;90;3;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;160;357;61;1;12;28;3;6;84;195;3;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;161;333;44;1;14;25;1;8;72;165;3;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;162;344;34;2;16;30;5;4;65;156;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;163A;239;28;1;5;12;1;1;75;123;0;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;163B;299;34;1;8;11;1;10;87;152;0;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;164A;234;39;1;5;15;2;11;60;133;4;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;164B;208;32;2;3;5;0;2;48;92;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;165A;219;38;0;3;14;3;0;64;122;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;165B;211;41;0;1;10;0;8;45;105;0;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;166;347;59;1;7;20;3;4;64;158;0;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;167A;224;37;4;4;8;0;5;56;114;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;167B;217;45;0;11;5;2;2;26;91;0;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;168;401;46;1;16;22;1;1;75;162;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;169;341;44;2;11;23;4;2;64;150;2;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;170A;218;23;0;10;17;2;7;61;120;2;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;170B;214;27;1;9;13;2;1;47;100;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;171A;224;41;1;9;13;1;4;66;135;1;
673;Montmorency;2014-04-07;G;Sainte-Brigitte-de-Laval, v;1;;171B;248;28;0;3;17;1;2;52;103;0;
673;Montmorency;2014-04-07;G;BVA1;;;;0;376;2;30;150;4;12;107;681;8;
673;Montmorency;2014-04-07;G;BVA2;;;;0;270;4;26;127;5;8;131;571;3;
673;Montmorency;2014-04-07;G;BVA3;;;;0;330;3;21;134;5;9;89;591;10;
673;Montmorency;2014-04-07;G;BVA4;;;;0;315;3;11;133;2;13;116;593;3;
673;Montmorency;2014-04-07;G;BVA5;;;;0;356;3;20;154;0;4;125;662;2;
673;Montmorency;2014-04-07;G;BVA6;;;;0;314;1;23;131;3;20;148;640;6;
673;Montmorency;2014-04-07;G;BVA7;;;;0;345;2;25;121;5;18;139;655;5;
673;Montmorency;2014-04-07;G;BVA8;;;;0;336;0;22;131;4;13;170;676;6;
673;Montmorency;2014-04-07;G;BVA9;;;;0;377;2;18;127;1;13;173;711;0;
673;Montmorency;2014-04-07;G;BVA10;;;;0;372;5;20;130;3;16;141;687;4;
673;Montmorency;2014-04-07;G;BVA11;;;;0;316;1;22;150;2;9;172;672;3;
673;Montmorency;2014-04-07;G;BVA12;;;;0;279;0;18;128;2;10;147;584;2;
673;Montmorency;2014-04-07;G;BVA13;;;;0;254;2;21;87;2;14;147;527;4;
673;Montmorency;2014-04-07;G;BVA14;;;;0;220;1;14;94;1;22;148;500;2;
673;Montmorency;2014-04-07;G;BVA15;;;;0;331;2;19;97;1;11;167;628;3;
673;Montmorency;2014-04-07;G;BVA16;;;;0;312;3;8;108;3;6;127;567;1;
673;Montmorency;2014-04-07;G;BVA17;;;;0;281;0;11;92;2;4;104;494;4;
673;Montmorency;2014-04-07;G;BVA18;;;;0;249;0;18;93;1;3;88;452;3;
673;Montmorency;2014-04-07;G;BVA19;;;;0;242;8;17;143;4;8;110;532;6;
673;Montmorency;2014-04-07;G;BVA20;;;;0;313;2;14;91;2;25;213;660;3;
673;Montmorency;2014-04-07;G;BVA21;;;;0;216;0;19;77;4;10;154;480;0;
673;Montmorency;2014-04-07;G;Vote en installation d'hébergement;;;;0;73;4;10;47;2;3;36;175;6;
673;Montmorency;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;203;3;4;35;2;0;24;271;4;
673;Montmorency;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;161;3;10;58;3;6;76;317;3;
673;Montmorency;2014-04-07;G;Vote hors circonscription;;;;0;372;13;105;118;24;22;142;796;17;
673;Montmorency;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;225;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;20;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Total de la circonscription;;;;55950;17113;255;1981;7242;407;1015;14323;42336;476;
673;Montmorency;2014-04-07;G;Majorité en faveur de Raymond Bernier : 2790
